speed,outreach_ratio,mean_acceleration,distance_traveled,track_id,is_male,cluster
4.385221752037015,0.0550181784946835,0.3203490151737682,3853.98708907964,12090,0,6
2.3475390315765026,0.529991474841128,0.2180755984293354,2433.438160182462,279,0,7
1.8902577006013903,0.1109647745977031,0.1529643187330478,10888.393980334991,3888,0,2
3.90877490630955,0.0535380906285252,0.2973905302111633,6388.709842163064,3553,1,2
2.500337285586669,0.039443099759569,0.2396959794612488,2748.255431923846,18918,0,2
1.3770516813812197,0.1016057232418831,0.1449100174252808,8143.940223803259,17306,0,2
2.4837571070358617,0.0756568484698691,0.2746689550327611,7722.162270265222,6154,0,5
1.4103629735337162,0.0927290724648107,0.139318446328298,5349.1840240539,2692,0,2
1.670096771420556,0.0698364489966688,0.1853421491161679,5961.704231350143,25054,0,2
2.437093888673207,0.1315407465714785,0.2310752924707806,6848.578016856074,6823,0,2
2.349335256074359,0.0555073015312055,0.2142948698792345,12394.543652666996,14195,0,8
1.6729556440302011,0.5202664551682623,0.1578086252127616,693.4653102794814,5480,0,7
2.439306084816908,0.1296793760176118,0.1962635223232553,5690.422911264173,2586,0,2
4.088893949873053,0.3116629400806786,0.3472952226856155,2984.662038363957,14515,0,7
1.5887684336994228,0.0869190506109926,0.1319699130989887,6757.049257457124,5071,0,2
2.9670979752831146,0.2542302678362624,0.270985001775051,4185.73138291262,3866,1,6
2.4714344525270047,0.1088821653026101,0.1840520184507711,7651.145336626363,2358,0,2
4.25477309828431,0.0355746739404126,0.3587670662786787,2500.0994944144213,83,0,7
1.973865116093652,0.0897271793565483,0.1732112252017243,9521.836909615227,3903,0,2
3.0892677807730617,0.0528753004078023,0.2984985819396455,11621.759020215526,18510,0,8
4.409773363165189,0.0605006125980439,0.4129208938358775,11649.930745573089,833,1,8
6.867771632970346,0.2932587496670778,0.5212809936000776,2740.137287098655,2003,1,0
2.28695841444242,0.0162937876131073,0.2072506048197105,12966.327062334867,12815,0,1
2.6902415746107184,0.0175757796629632,0.1994116724419558,6184.211483214685,3278,0,2
4.936142261286532,0.0708302898018182,0.3862599874376755,6670.327559898726,1687,1,6
2.4935574431990024,0.0544528229133043,0.1851443719437595,5488.78822499516,6720,1,2
5.527592088908636,0.0441536285634127,0.3444371838837717,3633.7687163336855,2344,0,7
1.907228422225774,0.0164391158902614,0.1663883902587702,6317.094912904661,3303,1,2
3.307534418730744,0.1752347159335109,0.246492012776739,2507.808624205576,13906,0,7
2.385089614054451,0.1708309771516705,0.169781936255859,4673.682916213151,2102,0,6
3.952062078650382,0.4147179645816816,0.4016461657208023,2674.7300099586278,2929,0,7
3.485339692913836,0.1011596953903724,0.2290678875811386,4904.970962411189,1364,0,2
3.1678637529926617,0.4539841344444868,0.2608281065776719,1541.02215814069,1853,0,7
3.56911798454926,0.2072214003162565,0.2994086664843023,5775.575923894019,3470,1,6
3.344883501769188,0.0053570255745577,0.2275781316762208,8690.018130493387,1731,0,2
3.827774746887517,0.1363420388618029,0.2941418625652974,3133.9486891606502,6,0,6
1.2676211596626483,0.0390396660087595,0.1928719283169669,15425.354261150213,12696,0,1
3.9562523433992,0.0723641310645746,0.327487027895648,6329.4645301443015,2433,1,6
6.529783361924763,0.0695787703342012,0.5102432414501983,2832.041856618237,3236,0,7
